"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"EC","GO:1901605","alpha-amino acid metabolic process","12/288","207/18860",0.0579710144927536,3.7962962962963,5.03756023043542,8.49995258210052e-05,0.0042115518478709,0.0034355251748562,"2639/5092/4594/4507/2746/10247/23475/2875/29968/4204/4357/11112",12
"EC","GO:0007020","microtubule nucleation","6/288","48/18860",0.125,8.18576388888889,6.20729396611776,8.61708456098551e-05,0.00421189119690332,0.00343580199494202,"1639/11076/23332/3303/3304/4204",6
"EC","GO:1903829","positive regulation of protein localization","19/288","459/18860",0.0413943355119826,2.7107540547083,4.62061139442653,8.80815865925809e-05,0.00424012347803507,0.00345883215486295,"3958/9531/7430/2244/10580/2746/2243/2266/5715/10059/1981/5581/4478/3320/10527/9475/23236/399687/3326",19
"EC","GO:0042176","regulation of protein catabolic process","17/288","383/18860",0.0443864229765013,2.90669422686394,4.69451732141583,8.97697924171047e-05,0.00424012347803507,0.00345883215486295,"6449/302/7430/1191/9146/2876/1457/7874/1917/4478/9097/3320/3303/3304/29934/5300/3326",17
"EC","GO:0046034","ATP metabolic process","13/288","241/18860",0.053941908713693,3.53244582757031,4.92716091406919,9.02652772487422e-05,0.00424012347803507,0.00345883215486295,"4705/2203/29789/4709/318/1291/57103/10059/23788/55753/3303/3304/5224",13
"EC","GO:0046496","nicotinamide nucleotide metabolic process","11/288","179/18860",0.0614525139664804,4.02428615766605,5.06262283378711,9.97821724859077e-05,0.00462707843437856,0.00377448622777327,"2203/55739/1291/57103/9555/23788/55753/23475/51181/5224/5226",11
"EC","GO:0051261","protein depolymerization","9/288","121/18860",0.0743801652892562,4.87086776859504,5.31929470215528,0.000101158337541477,0.00463151527705725,0.00377810553136256,"120/9829/11034/8867/23332/3796/822/88/85477",9
"EC","GO:0032386","regulation of intracellular transport","14/288","279/18860",0.050179211469534,3.28604141776185,4.79046742305475,0.000105421508443385,0.00476636995049655,0.00388811168640538,"3936/9531/7529/302/7430/7874/23256/23209/5594/4478/3320/29934/65009/88",14
"EC","GO:0006986","response to unfolded protein","10/288","152/18860",0.0657894736842105,4.30829678362573,5.09963170709731,0.000117593613165769,0.0052510629484023,0.00428349444709097,"22824/9531/3315/8440/23071/3320/3303/26353/3326/11080",10
"EC","GO:0006605","protein targeting","15/288","319/18860",0.0470219435736677,3.0792842215256,4.66411080290029,0.000123870268726304,0.00546388734125663,0.00445710350757165,"54557/6449/9531/7529/288/7532/1191/9146/1457/8943/3208/10971/5300/7534/6745",15
"EC","GO:0031116","positive regulation of microtubule polymerization","5/288","33/18860",0.151515151515152,9.92213804713805,6.38795111298969,0.000134063065904788,0.00577269177830497,0.00470900718961303,"1639/23332/3303/3304/4204",5
"EC","GO:0070841","inclusion body assembly","5/288","33/18860",0.151515151515152,9.92213804713805,6.38795111298969,0.000134063065904788,0.00577269177830497,0.00470900718961303,"9531/1191/3320/3303/3304",5
"EC","GO:0099504","synaptic vesicle cycle","12/288","220/18860",0.0545454545454545,3.5719696969697,4.77837765045795,0.000151106519995713,0.00636339303905753,0.00519086497634802,"824/9829/8541/6812/8867/22895/8120/8943/9885/5217/26052/91683",12
"EC","GO:0051656","establishment of organelle localization","17/288","400/18860",0.0425,2.78315972222222,4.48880386620987,0.000151299917434047,0.00636339303905753,0.00519086497634802,"2697/3800/7430/9146/10015/1639/6812/8867/5048/23332/10059/8120/8943/1113/7534/26052/10128",17
"EC","GO:0030041","actin filament polymerization","10/288","157/18860",0.0636942675159236,4.17108987968861,4.96854213939255,0.000153554063632971,0.00638396607080983,0.00520764719132749,"11151/81553/120/8440/5581/23580/5217/822/25959/85477",10
"EC","GO:1903035","negative regulation of response to wounding","8/288","101/18860",0.0792079207920792,5.18701870187019,5.25396266769085,0.000158824971327124,0.00652806728738874,0.00532519610801351,"325/302/710/2244/2243/2266/2247/23332",8
"EC","GO:0010968","regulation of microtubule nucleation","4/288","19/18860",0.210526315789474,13.7865497076023,6.94391560098938,0.000172239085126947,0.00692209745449076,0.00564662170305068,"1639/3303/3304/4204",4
"EC","GO:2000641","regulation of early endosome to late endosome transport","4/288","19/18860",0.210526315789474,13.7865497076023,6.94391560098938,0.000172239085126947,0.00692209745449076,0.00564662170305068,"7430/5594/4478/29934",4
"EC","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","8/288","103/18860",0.0776699029126214,5.08629989212513,5.1783737913028,0.000182017189619356,0.00717690012212398,0.00585447406030398,"3958/2876/2244/2243/2266/3685/3303/3304",8
"EC","GO:0006066","alcohol metabolic process","16/288","368/18860",0.0434782608695652,2.84722222222222,4.45633004526233,0.000182547639268843,0.00717690012212398,0.00585447406030398,"5092/6697/8613/217/8867/5594/51477/4597/23236/27122/1727/10577/847/4204/3612/6652",16
"EC","GO:0099003","vesicle-mediated transport in synapse","13/288","259/18860",0.0501930501930502,3.28694766194766,4.61492022374324,0.000184778535523127,0.00718649422566827,0.00586230034036586,"824/9829/8541/6812/8867/22895/8120/8943/9885/5217/3208/26052/91683",13
"EC","GO:0031338","regulation of vesicle fusion","5/288","36/18860",0.138888888888889,9.09529320987654,6.0541630531351,0.000205133727732605,0.00789328397030672,0.00643885597798983,"11151/302/301/6812/22895",5
"EC","GO:0062197","cellular response to chemical stress","15/288","335/18860",0.0447761194029851,2.93221393034826,4.44349545893364,0.000211072672364301,0.00803631427307029,0.00655553130899874,"6649/2203/2876/7168/5066/318/84557/5052/6648/6416/3303/3304/847/9283/8575",15
"EC","GO:0009205","purine ribonucleoside triphosphate metabolic process","13/288","264/18860",0.0492424242424242,3.22469486531987,4.53303303206932,0.000222760376030838,0.00839296125107857,0.00684646199577237,"4705/2203/29789/4709/318/1291/57103/10059/23788/55753/3303/3304/5224",13
"EC","GO:0031638","zymogen activation","6/288","57/18860",0.105263157894737,6.89327485380117,5.54889859042485,0.000227173008793164,0.00847097703922552,0.00691010248125057,"3240/302/2244/6281/2243/2266",6
"EC","GO:0051223","regulation of protein transport","18/288","458/18860",0.0393013100436681,2.57368995633188,4.24566413881873,0.000254887298614816,0.00931239756656352,0.00759648163761115,"3936/9531/6717/7529/5910/2244/2746/23256/2243/2266/5715/10059/5581/3320/23236/29934/1113/399687",18
"EC","GO:0072657","protein localization to membrane","18/288","458/18860",0.0393013100436681,2.57368995633188,4.24566413881873,0.000254887298614816,0.00931239756656352,0.00759648163761115,"3958/23136/288/7430/9146/10580/6281/6812/7184/5581/9475/1741/375790/8943/8301/1742/88/1363",18
"EC","GO:0070507","regulation of microtubule cytoskeleton organization","10/288","168/18860",0.0595238095238095,3.8979828042328,4.69838710071722,0.000266193852913175,0.0095404331877523,0.00778249908335483,"22924/1639/91782/5048/11076/23332/3303/3304/221074/4204",10
"EC","GO:0031112","positive regulation of microtubule polymerization or depolymerization","5/288","38/18860",0.131578947368421,8.61659356725146,5.85256077181986,0.000266404133802318,0.0095404331877523,0.00778249908335483,"1639/23332/3303/3304/4204",5
"EC","GO:0046785","microtubule polymerization","8/288","110/18860",0.0727272727272727,4.76262626262626,4.9284803082809,0.000286153077184291,0.0100487938573191,0.00819718847607513,"22924/1639/11076/23332/3303/3304/221074/4204",8
"EC","GO:0009144","purine nucleoside triphosphate metabolic process","13/288","271/18860",0.047970479704797,3.14140016400164,4.42161271004816,0.000287056698362711,0.0100487938573191,0.00819718847607513,"4705/2203/29789/4709/318/1291/57103/10059/23788/55753/3303/3304/5224",13
"EC","GO:0007163","establishment or maintenance of cell polarity","12/288","236/18860",0.0508474576271186,3.32980225988701,4.48502449025521,0.000288934078286201,0.0100487938573191,0.00819718847607513,"2697/7430/10015/10486/1639/5048/23332/4478/9475/1741/1742/399687",12
"EC","GO:0051650","establishment of vesicle localization","11/288","203/18860",0.0541871921182266,3.54850848385331,4.54610469881657,0.000299804586062897,0.0102463087081043,0.00835830895298996,"3800/9146/10015/1639/6812/8867/5048/23332/8120/8943/26052",11
"EC","GO:0072593","reactive oxygen species metabolic process","12/288","237/18860",0.0506329113924051,3.31575246132208,4.46753251823684,0.000300278883897998,0.0102463087081043,0.00835830895298996,"4129/3240/9588/6649/2876/5052/1291/57103/5581/6648/51181/847",12
"EC","GO:0032231","regulation of actin filament bundle assembly","8/288","112/18860",0.0714285714285714,4.67757936507936,4.86093517577244,0.000323514390921029,0.010935995812723,0.00892091330793552,"10391/7168/22843/6281/23332/9475/5217/171024",8
